SOLUCION [0.09536888685435263, 7.401541161211567]
k = fase;1;2;3;4;5;6;7;8;Cio;PHIio
m = movimiento;WBL;EBT;NBL;SBT;EBL;WBT;SBL;NBT
X19m int#1;1.4323794191131844;0.7732609004856908;1.0162966184772944;1.4030021577388931;0.8445843414252872;1.3108710516149245;1.1840023310973093;1.2028563696998702
X29m int#2;1.2555450846959804;0.9270449621633888;0.9531500000280919;1.2405578044015038;1.0992126227883103;1.0573731477431476;1.1059196864437442;1.062274048080329
X39m int#3;0.940753930545272;1.1316399132909893;0.9664343205859741;1.3275734100204255;1.2359508849794458;0.8631789486692226;1.112561846722685;1.3275734100204255
S19m int#1;1770;4989;1770;1827;1770;4989;1770;1827
S29m int#2;1770;4989;1770;1827;1770;4989;1770;1827
S39m int#3;1770;4989;1770;1827;1770;4989;1770;1827
q19m int#1;321.6666666666667;757.9999999999999;101.00000000000001;471.9999999999999;189.6666666666667;1285.0;117.66666666666661;404.6666666666665
q29m int#2;256.99999999999994;901.0000000000003;95.66666666666669;445.3333333333335;225.00000000000006;1027.666666666667;111.0;381.33333333333326
q39m int#3;210.3333333333334;1103.0;96.99999999999994;449.3333333333334;276.3333333333333;841.3333333333336;111.66666666666661;449.3333333333334
""
""
k = fase;1;2;3;4;5;6;7;8;Cio;PHIio
m = movimiento;WBL;EBT;NBL;SBT;EBL;WBT;SBL;NBT
g110m int#1;11.713529689851296;18.18921614975216;5.0;16.951372919801727;11.713529689851296;18.18921614975216;5.0;16.951372919801727;89.32342568290805;47.35048865559173
g210m int#2;10.713529689851296;17.83245130482651;5.118921614975216;18.18921614975216;10.713529689851296;17.83245130482651;5.118921614975216;18.18921614975216;89.32342568290805;47.35048865559173
g310m int#3;11.59460807487608;17.951372919801727;5.118921614975216;17.18921614975216;11.59460807487608;17.951372919801727;5.118921614975216;17.18921614975216;89.32342568290805;47.35048865559173
X110m int#1;1.4454292735196275;0.7699871093457487;1.0521996754173069;1.4226204224236023;0.8433465880520631;1.3192396590612203;1.2414442213556707;1.2041439966788725
X210m int#2;1.261214648315104;0.9322292553789211;0.9710684750682154;1.2485287795879532;1.0916395695500483;1.0753015966729393;1.141128690245136;1.0550000990059663
X310m int#3;0.9531914672259081;1.132508150263594;0.9833916790665421;1.330407077589933;1.2382784129030628;0.8736918887106199;1.1460579718444666;1.330407077589933
S110m int#1;1770;4989;1770;1827;1770;4989;1770;1827
S210m int#2;1770;4989;1770;1827;1770;4989;1770;1827
S310m int#3;1770;4989;1770;1827;1770;4989;1770;1827
q110m int#1;335.5;782.2499999999999;104.25000000000001;493.2499999999999;195.75000000000006;1340.25;122.99999999999993;417.4999999999999
q210m int#2;267.75;928.5000000000005;98.50000000000003;464.5000000000002;231.75000000000006;1071.0000000000002;115.75;392.49999999999994
q310m int#3;219.00000000000006;1135.5;99.74999999999994;467.7500000000001;284.5;876.0000000000002;116.24999999999994;467.7500000000001
""
""
